PCT_PPL_NO_HLTH_INSURANCE,OPIOID_SCRIPTS_100,SUBSTANCE_ABUSE_FACILITIES,CRIME_THEFT_100k,CRIME_VIOLENT_100k,CRIME_PROPERTY_100k,UNEMPLOYMENT_RATE,MEDIAN_INCOME,UNDER_18_POVERTY_RATE,ALL_AGES_POVERTY_RATE,HS_LESS_PERCENT,RISK
7.1,54.3,0,1900,87.13791556,1147.315888,3.7,56406,13.1,10,0.030669906,medium
10.6,59.8,0,1786.448288,88.53195055,1808.581275,4.8,44101,21.2,16.5,0.040724697,medium
10,59.4,7,4374.805318,208.206961,4455.137138,6.6,41948,23.4,15.9,0.056051937,medium
10.7,45.6,4,368.4692552,31.94820132,383.3784158,4.5,77938,8.3,5.8,0.043225916,medium
9.7,84.2,3,1192.700468,20.47554452,1208.057127,6,43733,27,18.2,0.078549308,medium
5.1,54.9,4,1120.565623,63.11180941,1152.342198,4.2,81543,6.1,5.4,0.027848638,medium
6.9,61,2,1968.026034,87.81218523,2094.578889,4.5,56203,16,11.1,0.039128077,medium
7.8,77.6,11,2804.177591,289.7750793,2875.327722,6.1,42443,26.8,16.8,0.038679799,medium
7.4,76.7,18,2298.573567,287.0539217,2352.931726,5.5,51036,19.4,13.2,0.038950432,medium
10.3,57,1,636.7357547,84.46494705,662.7249691,6.3,44221,24.3,15.5,0.053992593,medium
8.5,75.8,7,890.4099656,118.914686,906.3619357,6.4,45675,21.1,14.6,0.044186957,medium
6.4,62.1,4,2192.61135,133.3097961,2205.394481,4.4,61250,16.2,12.7,0.029541207,medium
10.1,80.4,5,1883.580022,198.0661717,1907.972407,7.3,43160,28.3,17.2,0.047009006,medium
8.5,85.5,12,1955.374749,743.9075741,1976.313688,6.4,42344,29.4,20.7,0.051424653,medium
8.5,75.8,7,696.0386132,86.8208841,707.8109365,6.3,52221,17.2,11.1,0.044837836,medium
10.7,45.6,4,683.3712984,37.25544462,676.9846508,4.7,82744,7.2,6.4,0.043205671,medium
11,58.7,5,615.198788,50.15763829,628.5059166,5.9,45157,28.4,19.3,0.068470294,medium
6.4,62.1,4,2191.573662,120.9811572,2249.039712,4.4,62751,14.5,12.1,0.029356078,medium
11.1,39,1,1261.701262,189.9335233,1363.451363,8.3,40680,27.6,18.7,0.054470221,medium
11.1,39,1,1438.263229,264.5861601,1431.478969,7.8,37923,27.6,18.1,0.054477612,medium
8.5,85.5,12,3460.451815,766.8623223,3476.135014,5.3,43136,28.9,19.5,0.05154468,medium
11,58.7,5,1288.667603,97.96297605,1344.21362,7.2,39757,32.1,21.5,0.067554056,medium
9.3,82.8,1,1275.881557,23.97629772,1301.570448,6.5,51278,17.9,12.2,0.054306314,medium
9.8,112.5,2,1824.324324,153.5626536,1882.678133,7.5,42828,29.2,20.4,0.070546683,medium
6.6,62.5,3,2228.304121,168.2227269,2258.713614,4.3,67276,12.3,9,0.035488525,medium
11.3,90.1,4,1824.25846,67.30724597,1870.67725,7.8,41611,27.6,19.3,0.069813861,medium
10.3,37.5,1,403.9559827,48.75330826,410.9207411,11,40646,23,15.7,0.046315643,medium
8.5,89,4,4119.105608,366.0612107,4141.846885,5.8,42029,27.6,18.2,0.058819214,medium
10.7,78,5,2241.979126,154.6192501,2259.549496,5.4,48397,22.1,14.5,0.046385775,medium
6.9,61,2,1765.880125,110.047602,1811.946563,5.1,50302,17.7,11.3,0.038772585,medium
8.2,56.2,2,1841.575059,148.4571065,1795.62405,3.9,49120,13.7,11.4,0.031069952,medium
