COUNTY,YEAR,County_ID,CRIME_THEFT_100k,CRIME_VIOLENT_100k,CRIME_PROPERTY_100k,OVERDOSE_100k,UNEMPLOYMENT_RATE,MEDIAN_INCOME,UNDER_18_POVERTY_RATE,ALL_AGES_POVERTY_RATE
DELAWARE COUNTY,2014,21,1269.985379,68.0914854,1276.31947,6.334091665,4.1,97802,5.1,4.8
DELAWARE COUNTY,2015,21,1368.353527,83.29108423,1385.942948,6.208031123,3.5,97679,4.7,4.4
DELAWARE COUNTY,2016,21,1375.156787,93.9453492,1388.359917,5.585939682,3.6,102990,4.7,4.7
DELAWARE COUNTY,2017,21,1272.052737,93.74594848,1283.023008,13.96216254,3.5,107676,5.3,4.8
ERIE COUNTY,2014,22,2428.311394,120.0306012,2445.458622,22.42329913,6.4,49234,22.3,13.9
ERIE COUNTY,2015,22,2262.203293,94.20318699,2271.490931,30.51652536,5.5,48129,22.3,12.7
ERIE COUNTY,2016,22,2227.316956,87.97302161,2241.979126,49.31820908,5.5,51354,20.1,12.5
ERIE COUNTY,2017,22,2361.836568,117.5574763,2377.867133,42.74817318,6.1,54849,18.2,12.4
FAIRFIELD COUNTY,2014,23,2290.578963,172.9240797,2321.838316,9.976389212,5.2,59921,13.9,9.6
FAIRFIELD COUNTY,2015,23,2277.747649,171.9553974,2308.831894,10.58187061,4.4,61450,12.4,9.1
FAIRFIELD COUNTY,2016,23,2256.052825,170.3175768,2286.841002,15.06655487,4.3,65198,13,9.7
FAIRFIELD COUNTY,2017,23,2228.304121,168.2227269,2258.713614,27.82145099,4.3,67276,12.3,9
FAYETTE COUNTY,2014,24,3895.695884,205.9552484,3916.640486,41.88920306,6,44947,25.3,15.8
FAYETTE COUNTY,2015,24,3898.874047,293.726834,3919.854535,55.94796839,4.9,45068,26.2,16.3
FAYETTE COUNTY,2016,24,3883.732291,212.8550492,3925.605416,24.42598925,4.4,44257,23,16
FAYETTE COUNTY,2017,24,3468.853603,272.2038039,3419.99651,90.73460129,4.2,46067,24.3,15.6
FRANKLIN COUNTY,2014,25,3517.404142,406.5313069,3587.648876,15.82525048,4.9,53164,24.6,17.3
FRANKLIN COUNTY,2015,25,3177.840757,403.3232821,3250.442129,22.1859613,4.1,53939,24.5,17.1
FRANKLIN COUNTY,2016,25,3289.946492,381.9297337,3409.515291,24.63556623,4.1,56090,23.9,16.6
FRANKLIN COUNTY,2017,25,3088.586454,378.9439888,3309.238361,33.26371878,4,59214,22.5,16
FULTON COUNTY,2014,26,1007.004221,75.46635851,1030.587458,11.79161852,5.9,54666,14.8,10.5
FULTON COUNTY,2015,26,1239.03431,82.75992528,1269.773711,14.18741576,4.9,58782,12.4,8.5
FULTON COUNTY,2016,26,1255.556606,82.75796841,1281.566254,23.64513383,4.7,56504,11.7,8.9
FULTON COUNTY,2017,26,1133.325447,101.7390276,1097.835088,7.098071691,4.9,59214,10.9,8.2
GALLIA COUNTY,2014,27,3332.020222,151.007813,3341.868558,19.69667126,7.7,36675,37.9,26.1
GALLIA COUNTY,2015,27,2186.280347,122.3787789,2206.125554,29.76781107,6.5,38738,32.4,21.7
GALLIA COUNTY,2016,27,2437.083458,116.0515932,2519.977453,36.47335787,6.8,42074,29.8,20.6
GALLIA COUNTY,2017,27,2222.738281,126.0657532,2222.738281,59.7153568,6.6,43149,27.2,19
GEAUGA COUNTY,2014,28,696.8455769,29.78881855,718.1233044,11.70275015,5,72264,11.5,7.8
GEAUGA COUNTY,2015,28,417.3364988,25.55121421,426.9182042,15.96950888,4.2,76315,8.8,6.7
GEAUGA COUNTY,2016,28,368.4692552,31.94820132,383.3784158,25.55856105,4.5,77938,8.3,5.8
GEAUGA COUNTY,2017,28,683.3712984,37.25544462,676.9846508,26.61103187,4.7,82744,7.2,6.4
GREENE COUNTY,2014,29,2229.697728,110.5133405,2256.415239,24.28864627,5.3,59382,18.1,13.2
GREENE COUNTY,2015,29,2192.61135,133.3097961,2205.394481,26.1749828,4.4,61250,16.2,12.7
GREENE COUNTY,2016,29,2191.573662,120.9811572,2249.039712,26.61585458,4.4,62751,14.5,12.1
GREENE COUNTY,2017,29,2100.983937,146.9009887,2139.358073,37.77453996,4.2,68040,11.7,9.8
GUERNSEY COUNTY,2014,30,1587.341581,133.53826,1612.537479,22.6763083,6.7,41940,26.4,17.2
GUERNSEY COUNTY,2015,30,860.7119281,68.55227746,898.7965267,22.85075915,6.2,41630,28.7,18.6
GUERNSEY COUNTY,2016,30,1229.56047,35.71337466,1255.070024,33.16241933,7.1,43519,25.4,18.6
GUERNSEY COUNTY,2017,30,1192.700468,20.47554452,1208.057127,25.59443065,6,43733,27,18.2
HAMILTON COUNTY,2014,31,3834.315189,435.7063792,3815.495249,30.70621826,5.5,48973,24.4,17.6
HAMILTON COUNTY,2015,31,3686.36102,441.0787469,3689.201908,41.37815184,4.5,51070,23.1,16.6
HAMILTON COUNTY,2016,31,3397.973316,426.7027448,3424.465112,39.1832148,4.4,53344,23.2,16
HAMILTON COUNTY,2017,31,3155.506947,444.5966531,3217.495161,54.50052843,4.4,55178,25.4,16.2
HANCOCK COUNTY,2014,32,2234.473597,114.2477582,2258.385918,14.61308535,4.5,51498,18.2,12.7
HANCOCK COUNTY,2015,32,1798.109341,126.9253652,1788.854366,17.18780988,3.7,55265,14.6,10.6
HANCOCK COUNTY,2016,32,1900,87.13791556,1147.315888,25.08515751,3.7,56406,13.1,10
HANCOCK COUNTY,2017,32,2021.90618,179.2563498,1965.22954,42.17796465,3.6,54386,12.4,9.7
HARDIN COUNTY,2014,33,2045.440242,94.40493423,2076.908553,3.146831141,5.7,45195,24.8,19
HARDIN COUNTY,2015,33,1786.448288,88.53195055,1808.581275,25.29484301,4.8,44101,21.2,16.5
HARDIN COUNTY,2016,33,1922.281277,92.29496197,1960.472296,22.27809427,5,46969,17.2,13.3
HARDIN COUNTY,2017,33,1690.759727,50.94567917,1728.968987,28.65694453,4.9,47185,21.2,15.8
